Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Astec Lifescienc,533138,ASTEC,INE563J01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,749.90,-12.86,-87.17,-14.73,0.89,-45.29,-39.94,367.02,-2.45,-410.62,1.04,-1.34,4.08,-26.27,413.93,-1.34,-0.18,-2.72,514.12,3.95,3.97,-198.45,-122.48,0.00,3.95,0.54,409.05,-2.00,0.00,381.30,-66.20,5.63,-62.59,43.71,-106.30,36.70,-140.98,2.02,22.28,0.00,391.65,10.18,544.37,883.30,362.70,348.84,-8.17,37.01,44.73,-49.66,-89.22,-8.40,-24.25,-15.23,23.73,1667.01
Ather Energy,544397,ATHERENERG,INE0LEZ01016,Automobiles,2/3 Wheelers,941.20,-65.71,-646.30,-40.47,0.16,-156.50,-19.12,430.30,-1.55,-92.12,2.63,-5.97,11.36,-44.21,2721.40,-5.97,-0.03,-0.53,2885.50,4.07,14.70,-50.01,-452.76,0.00,4.07,2.43,3173.20,-16.11,-0.09,2255.00,-580.90,50.20,-530.70,171.00,-701.70,110.60,-812.30,0.00,38.20,0.00,2683.20,449.90,169.40,4443.40,3356.80,1275.30,-511.20,92.70,166.30,-553.60,-651.30,-720.70,-1059.70,-100.10,702.90,36039.65
Atlantaa,532759,ATLANTAA,INE285H01022,Construction,Civil Construction,41.47,4.62,-13.99,8.16,1.53,23.10,-1.72,295.30,-2.91,16.42,1.36,-1.64,4.94,16.71,192.57,-1.64,0.16,6.94,148.75,2.48,1.75,6.20,-423.64,0.00,2.48,0.91,68.56,17.52,0.00,68.10,32.73,31.44,64.13,42.55,21.58,3.83,17.79,0.04,16.30,0.00,176.27,313.56,0.68,530.78,306.16,225.36,12.01,8.82,44.67,-14.50,-13.99,54.69,52.36,-102.25,63.70,338.91
ATV Projects,500028,,INE447A01015,Industrial Manufacturing,Industrial Products,32.85,2.96,7.66,2.81,0.18,3.66,1.44,36.72,3.66,23.95,2.21,383.00,2.67,49.55,209.45,383.00,-0.16,4.96,247.18,1.28,2.55,29.83,108.38,0.00,1.28,1.00,65.34,12.32,-0.06,70.57,7.70,0.74,8.44,1.07,7.37,0.01,7.36,0.00,52.56,0.00,156.89,2.79,39.88,275.32,60.64,27.40,8.05,0.02,1.09,7.66,7.66,5.85,5.37,0.26,-7.93,174.49
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1043.45,8.40,2313.09,1.58,7.87,14.19,31.01,142828.27,5.72,17.49,2.30,1.33,4.37,18.50,18146.38,1.33,-1.03,67.82,7057.34,7.78,1.30,14.30,116.96,3.54,7.78,2.30,17887.79,52.02,-0.03,16063.73,8572.41,2526.31,11102.33,258.51,10843.82,8052.15,2788.06,-3.61,747.18,0.00,17399.20,11659.90,124268.54,165541.93,10132.51,4397.43,9304.97,9263.52,0.00,12312.63,2313.09,5462.41,5205.38,-4779.63,2407.25,78091.16
Aurum Proptech,539289,AURUM,INE898S01029,IT - Services,IT Enabled Services,182.15,1.84,-10.45,-1.43,0.44,-2.68,0.26,224.76,0.81,12.52,1.21,0.44,3.42,-155.08,506.25,0.44,-0.03,312.17,579.15,1.60,3.47,20.73,362.38,0.00,1.60,1.21,381.09,22.12,0.04,381.09,84.30,43.69,115.64,103.74,11.90,26.86,-2.61,12.35,38.21,0.00,468.04,81.00,192.34,948.03,339.66,279.77,84.30,26.86,103.74,11.90,0.72,62.93,47.08,-80.15,20.62,1304.58
Autoline Industr,532797,AUTOIND,INE718H01014,Auto Components,Auto Components & Equipments,66.48,14.21,14.39,3.20,1.54,14.94,3.30,265.77,9.77,7.41,0.75,1.41,0.41,-9.27,172.63,1.41,-0.55,14.94,237.64,4.35,2.40,4.52,61.86,0.00,4.35,0.44,729.74,9.66,0.00,658.55,68.47,0.19,72.55,17.80,54.75,32.05,18.81,-3.89,45.37,0.00,127.26,171.20,116.69,635.51,246.41,330.16,70.46,38.50,20.61,54.31,14.64,66.17,-89.00,-114.68,61.59,298.78
Automotive Stamp,520119,ASAL,INE900C01027,Auto Components,Auto Components & Equipments,535.60,25.39,28.76,9.14,3.44,128.14,17.45,124.38,4.26,15.82,0.90,2.85,0.95,51.60,36.16,2.85,-0.01,4.49,80.02,8.71,7.16,14.36,63.75,0.00,8.71,0.56,890.52,6.57,0.00,890.52,58.48,0.60,60.16,19.79,40.37,14.15,25.14,-1.08,15.86,0.00,20.30,49.88,98.81,335.31,222.15,245.50,58.48,14.15,19.79,40.37,27.68,58.97,53.18,-5.74,-38.66,846.63
Avance Tech.,512149,,INE758A01072,IT - Software,Software Products,1.06,1.81,1.50,1.07,0.31,1.40,0.01,116.74,0.96,103.31,0.57,51.00,1.19,-20.36,381.77,51.00,,22.03,-78.30,1.30,1.71,-3.11,104.52,0.00,1.30,0.33,176.63,-1.01,0.00,171.77,5.16,2.20,7.36,0.00,7.36,0.02,7.34,0.00,198.19,0.00,183.58,0.00,55.78,563.72,103.57,181.95,-1.79,0.06,0.02,3.06,1.50,-67.61,-67.61,17.56,55.77,210.08
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,352.70,12.90,58.66,2.44,2.91,26.07,8.24,1450.97,6.26,6.43,0.68,1.33,1.78,26.76,498.80,1.33,-0.32,21.38,1380.78,4.25,2.47,6.98,116.89,0.00,4.25,0.68,1423.03,36.12,-0.01,1207.54,406.97,73.72,460.18,275.85,184.33,136.08,68.76,20.51,71.51,0.00,427.29,23.38,1389.40,2695.04,587.78,858.60,513.97,182.54,364.14,243.22,58.84,362.56,163.12,-203.08,-123.95,2531.86
