Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Current ratio,Interest Coverage Ratio,Net worth,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Piotroski score,Debtor days,Days Inventory Outstanding,Cash Conversion Cycle,Contingent liabilities,Market Capitalization
Kewal Kir.Cloth.,532732,KKCL,INE401H01017,Textiles & Apparels,Garments & Apparels,450.75,18.08,141.90,10.42,0.14,16.14,23.03,128.08,3.43,14.99,938.37,0.18,0.84,1164.65,1.56,5.67,1.56,2.49,1212.77,19.61,0.02,1212.77,237.79,23.76,261.55,44.33,217.22,14.49,202.73,0.00,61.63,0.00,876.74,27.55,136.33,1496.52,942.90,275.17,237.79,14.49,44.33,217.22,152.29,183.31,165.92,-28.33,-50.62,8.00,96.60,161.30,201.40,0.13,2777.76
Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,5177.10,30.55,168.00,14.22,0.01,23.21,131.14,18.61,2.94,42.96,1294.58,0.01,0.12,1156.08,1.48,9.61,1.48,2.18,1886.63,12.77,0.00,1744.69,225.07,9.38,234.45,21.71,212.74,6.66,206.08,0.00,13.55,0.00,1281.03,0.00,43.00,1734.61,1244.07,423.51,240.84,5.35,26.42,229.85,168.00,59.92,29.61,-29.84,-7.00,8.00,93.32,81.56,80.42,125.15,7015.69
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals & Petrochemicals,Petrochemicals,139.87,28.60,72.68,17.72,0.01,21.43,12.32,2.24,2.48,132.12,372.26,0.34,0.03,302.64,1.10,6.45,1.10,1.99,591.39,16.43,0.00,591.39,97.17,8.85,106.28,8.51,97.77,0.74,96.77,-0.26,59.19,0.00,313.07,0.00,3.01,441.81,133.88,53.89,97.17,0.74,8.51,97.77,72.49,80.51,61.64,-76.56,-7.40,8.00,37.90,26.62,30.40,17.73,823.08
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,338.85,15.16,648.04,10.11,0.03,11.73,28.31,169.79,8.06,106.30,5806.49,0.29,0.26,5917.42,1.10,5.31,1.10,2.32,6097.86,14.79,0.00,6097.86,902.11,70.37,972.48,91.24,881.24,8.29,872.95,0.00,22.89,0.00,5783.60,334.97,71.71,6597.92,5218.25,647.60,902.11,8.29,91.24,881.24,648.04,960.75,865.83,-523.15,-251.67,8.00,27.70,306.60,322.77,313.88,7755.93
Kwality Pharma,539997,KPL,INE552U01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,1718.60,18.40,57.14,9.46,0.38,16.31,54.50,110.44,1.88,8.35,290.11,0.02,2.77,293.19,1.59,8.78,1.59,1.38,461.65,22.82,0.04,370.20,80.39,1.92,82.28,18.29,63.99,9.88,54.14,0.03,10.38,0.00,279.73,112.45,0.00,477.65,320.06,170.62,105.35,10.57,19.63,88.30,56.52,52.72,27.80,-28.52,-14.44,8.00,152.14,166.96,207.51,36.98,1783.25
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2276.20,30.32,5764.93,17.19,0.29,29.08,116.65,6616.18,1.90,18.10,22448.27,0.12,1.24,23386.13,1.50,6.92,1.50,1.42,27958.03,31.53,-0.03,27958.03,8816.00,-133.46,9240.45,1375.50,7864.95,434.49,6872.55,-557.91,91.44,0.00,22356.83,2396.26,3051.51,38364.83,24027.38,12651.24,8816.00,434.49,1375.50,7864.95,5355.47,7334.50,5527.35,-3864.59,-845.87,8.00,86.22,303.06,181.38,809.13,104071.48
Mamata Machinery,544318,MAMATA,INE0TO701015,Industrial Manufacturing,Industrial Products,400.35,34.92,42.17,16.44,0.04,26.89,17.14,7.26,1.84,111.82,176.66,0.17,0.18,138.27,1.45,8.70,1.45,0.76,270.29,20.28,0.00,254.58,54.64,4.85,59.49,3.31,56.18,0.85,55.33,0.00,24.61,0.00,152.05,0.45,4.80,272.33,161.71,88.12,54.81,0.51,3.91,57.03,42.17,72.55,70.59,-10.53,-7.14,8.00,45.32,297.86,244.05,0.49,985.17
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1305.60,35.45,233.22,21.34,0.51,40.32,39.06,355.47,2.00,9.41,694.86,-0.03,1.52,677.14,1.57,13.77,1.57,0.47,1357.70,27.08,0.00,1357.70,367.71,11.36,379.07,25.56,353.51,37.55,315.96,0.00,11.94,0.00,682.92,480.84,1.46,1200.50,925.14,461.49,367.71,37.55,25.56,353.51,233.22,259.37,205.73,-87.25,-165.18,8.00,15.13,349.00,324.96,1.00,7795.55
Marine Electric.,,MARINE,INE01JE01028,Industrial Manufacturing,Industrial Products,218.75,16.06,53.26,5.59,0.13,11.55,3.86,55.72,2.17,5.84,429.96,0.02,1.46,443.89,1.66,9.28,1.66,1.86,850.20,10.04,-0.34,767.10,68.71,13.35,81.08,15.57,65.51,14.08,52.41,0.98,27.66,0.00,402.30,39.61,15.58,758.94,632.56,291.94,85.33,14.83,15.27,86.64,53.55,55.44,34.63,-95.26,51.67,8.00,157.42,51.66,80.16,190.53,3061.28
Mastek,523704,MASTEK,INE759A01021,IT - Software,Computers - Software & Consulting,1549.90,18.02,424.55,10.41,0.15,15.57,130.33,438.26,2.16,18.22,2991.85,0.33,1.08,3074.18,1.36,4.38,1.36,2.16,3698.75,15.83,-0.01,3698.75,585.56,40.29,655.97,72.61,583.36,32.02,521.22,-30.12,15.50,0.00,2976.35,555.17,27.96,4308.83,2114.34,980.31,585.56,32.02,72.61,583.36,404.00,541.69,515.24,-66.16,-299.99,8.00,57.22,,57.22,15.01,4804.28
Mayur Uniquoters,522249,MAYURUNIQ,INE040D01038,Consumer Durables,Leather And Leather Products,628.40,20.67,177.29,13.91,0.01,15.39,40.80,7.48,7.37,199.90,1013.89,0.21,0.05,863.34,1.06,7.27,1.06,5.89,895.34,23.01,0.18,820.21,180.77,39.66,218.54,28.59,189.95,1.65,190.19,1.89,21.73,0.00,992.16,7.45,1.58,1133.85,743.14,100.82,206.06,1.20,29.09,239.88,177.29,158.90,140.64,-68.36,-69.79,9.00,109.49,113.54,182.39,22.49,2730.56
Menon Bearings,523828,MENONBE,INE071D01033,Auto Components,Auto Components & Equipments,146.14,25.49,38.25,15.36,0.25,22.24,6.83,46.63,2.51,10.87,185.34,,1.22,203.47,1.34,8.02,1.34,1.95,293.81,20.01,0.00,293.81,58.78,6.43,65.21,9.98,55.23,5.08,50.15,0.00,5.60,0.00,179.74,42.00,0.84,267.52,139.76,55.78,58.78,5.08,9.98,55.23,38.25,23.32,5.38,-18.23,-12.49,8.00,112.76,93.20,146.21,0.00,818.97
Metropolis Healt,542650,METROPOLIS,INE112L01020,Healthcare Services,Healthcare Service Provider,528.85,17.77,196.41,9.89,0.15,13.81,9.17,231.92,1.40,11.93,1513.16,0.08,1.21,1735.68,1.32,10.49,1.32,1.27,1645.85,24.36,-0.01,1645.85,400.85,16.59,426.43,133.72,292.71,24.54,259.18,-8.99,41.47,0.00,1471.69,14.19,189.93,2138.05,468.61,334.02,400.85,24.54,133.72,292.71,191.18,350.70,299.79,-223.13,-115.29,8.00,37.77,51.16,-56.63,6.18,10964.75
Modi Naturals,519003,MODINATUR,INE537F01012,Agricultural Food & other Products,Other Agricultural Products,423.25,22.02,46.44,12.61,0.94,31.62,37.79,161.21,1.66,8.54,172.14,-0.18,3.21,301.51,2.14,5.32,2.14,0.80,719.18,10.22,0.00,719.18,73.49,5.84,74.47,8.01,66.46,7.78,63.54,4.86,13.31,0.00,158.83,147.74,1.04,406.61,171.99,103.47,73.49,7.78,8.01,66.46,50.28,61.06,-10.81,-71.94,12.43,8.00,23.68,59.41,61.68,164.15,563.19
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,128640.00,15.73,2473.72,8.04,0.15,12.54,5720.45,3206.66,1.65,9.97,20974.56,0.18,1.32,19810.45,1.47,5.22,1.47,1.04,31149.01,15.73,0.05,31149.01,4900.58,441.39,5405.21,1753.63,3651.58,366.20,3222.14,-63.24,4.24,0.00,20970.32,632.00,3139.16,31953.51,14816.50,9006.27,4900.58,366.20,1753.63,3651.58,2426.10,4590.30,3164.28,-3536.15,-1120.33,9.00,41.50,101.27,82.74,1249.94,54558.06
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3391.00,71.37,1331.55,22.52,0.00,56.27,52.22,4.76,1.31,4696.36,2847.94,0.10,0.00,1429.53,2.08,20.18,2.08,1.31,2302.00,71.32,0.00,2302.00,1641.68,127.05,1768.73,78.04,1690.69,0.36,1690.33,0.00,51.00,0.00,2796.94,0.00,1.01,7500.63,4151.84,3169.74,1641.68,0.36,78.04,1690.69,1331.55,3034.72,2962.38,-2399.10,-154.47,8.00,10.14,,10.14,143.83,86467.73
Natco Pharma,524816,NATCOPHARM,INE987B01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1199.10,32.78,1557.20,24.23,0.03,28.00,86.94,260.70,4.10,52.46,8649.80,0.24,0.14,8219.20,1.02,6.10,1.02,3.62,4560.20,40.72,-0.06,4429.50,2196.00,354.50,2549.10,235.20,2313.90,23.90,2291.40,1.40,35.80,0.00,8614.00,181.80,97.60,10430.10,6966.70,1700.00,1857.00,36.00,254.50,1888.60,1555.50,1696.80,1300.30,-1436.50,-210.70,8.00,102.72,405.21,362.48,3.00,21477.06
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,7001.00,21.37,668.68,11.93,0.32,20.26,129.46,1271.75,2.61,8.47,3974.58,0.04,1.92,5184.27,1.41,11.24,1.41,2.19,3313.90,32.64,0.00,3313.90,1081.68,58.54,1146.97,149.20,997.77,117.85,873.17,-6.75,10.25,0.00,3964.33,1440.73,25.66,6379.12,2785.38,1068.05,1081.68,117.85,149.20,997.77,663.55,893.57,404.44,-1234.91,344.21,8.00,82.80,118.16,60.61,12.37,35909.25
NBCC,534309,NBCC,INE095N01031,Construction,Civil Construction,93.82,33.17,663.97,4.68,0.00,25.54,2.42,0.32,1.20,22848.00,2671.19,0.25,0.00,2597.76,5.33,4.68,5.33,1.10,12970.06,4.76,0.00,12038.57,629.45,138.46,850.82,7.44,843.38,5.46,755.01,-82.91,270.00,0.00,2401.19,0.00,0.40,13395.23,12419.36,10371.59,617.84,0.04,12.14,913.92,671.61,657.19,337.69,572.79,-269.11,8.00,92.83,,92.83,2806.10,25331.40
Nitta Gelatin,506532,NITTAGELA,INE265B01019,Chemicals & Petrochemicals,Specialty Chemicals,1328.70,27.39,98.29,17.84,0.01,21.07,107.10,4.23,6.24,149.06,511.25,0.36,0.04,493.67,1.08,6.95,1.08,4.88,588.31,23.20,0.00,588.31,136.47,11.60,149.12,14.97,134.15,0.90,132.20,-1.05,9.08,0.00,502.17,26.46,0.00,586.01,394.16,63.21,136.47,0.90,14.97,134.15,97.19,122.49,71.50,-182.44,-37.33,8.00,60.57,120.25,127.29,29.08,1206.46
Om Power Transmission,544750,OMPOWER,INE25E901019,Construction,Civil Construction,184.75,43.47,22.04,16.45,0.26,35.75,368.00,18.90,1.81,6.10,72.65,,0.86,67.98,1.84,10.55,1.84,1.71,279.44,12.76,,279.44,35.65,2.21,37.80,1.19,36.61,6.00,30.67,0.06,0.60,0.00,72.05,18.28,0.62,150.18,130.45,71.99,35.65,6.00,1.19,36.61,22.08,12.45,12.03,1.40,-13.33,8.00,117.70,22.04,6.46,1.68,632.68
Orient Electric,541301,ORIENTELEC,INE142Z01019,Consumer Durables,Household Appliances,192.73,19.83,102.68,6.38,0.12,14.12,4.49,93.35,1.43,7.18,760.10,0.08,0.97,767.73,2.12,7.16,2.12,0.91,3326.39,6.89,0.00,3326.39,229.06,-0.15,239.07,77.06,162.01,22.56,129.29,-10.16,21.34,0.00,738.76,0.00,86.43,1666.61,1177.19,825.38,229.06,22.56,77.06,162.01,95.84,110.02,76.61,-73.12,-57.27,8.00,67.97,67.82,40.05,164.50,4112.20
Pfizer,500680,PFIZER,INE182A01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,4954.70,24.25,758.61,15.43,0.02,18.02,157.92,70.23,6.06,109.10,4202.90,0.21,0.10,3873.71,1.17,10.54,1.17,5.31,2519.65,35.88,0.00,2519.65,904.09,138.79,1092.04,57.73,1034.31,9.48,975.67,-49.16,45.75,0.00,4157.15,0.00,40.78,4921.88,3803.22,627.48,904.09,9.48,57.73,1034.31,722.43,967.57,943.50,-561.67,-798.31,8.00,26.34,195.09,132.30,211.92,22666.63
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1467.70,30.97,2459.03,16.87,0.04,23.89,24.06,417.21,2.38,62.49,10832.17,0.07,0.17,11049.01,1.36,18.52,1.36,1.90,14600.83,24.09,-0.01,14600.83,3516.63,252.47,3782.81,394.71,3388.10,54.22,3320.17,-13.71,101.78,0.00,10730.39,124.17,329.97,15432.89,8531.88,3585.37,3516.63,54.22,394.71,3388.10,2470.72,2828.45,2239.37,-1224.10,-1672.77,8.00,54.52,97.74,65.83,433.59,149378.89
Pix Transmission,500333,PIXTRANS,INE751B01018,Industrial Products,Rubber,1525.30,26.87,109.31,16.51,0.05,20.73,80.23,29.75,7.11,49.22,638.09,0.24,0.26,697.06,1.15,7.50,1.15,5.39,574.48,24.19,0.00,589.45,163.46,17.09,180.53,23.57,156.96,4.46,152.52,0.02,13.62,0.00,624.47,18.73,16.65,771.78,491.47,69.13,138.97,2.99,23.26,147.16,109.31,108.04,88.90,-77.50,-27.08,8.00,75.30,213.81,240.47,0.07,2078.98
POCL Enterprises,539195,,INE035S01028,Chemicals & Petrochemicals,Commodity Chemicals,182.85,32.43,40.62,14.68,0.97,37.51,13.50,170.44,1.56,4.13,175.55,-0.21,5.47,164.75,2.17,7.60,2.17,0.81,1471.76,4.99,0.13,1450.10,63.58,1.23,64.75,3.40,61.35,19.62,41.79,0.06,6.15,0.00,169.40,92.40,14.94,393.98,323.92,207.54,73.37,17.31,5.71,71.44,40.43,40.43,26.76,-19.61,-20.82,8.00,12.19,24.75,33.55,3.74,562.56
Pokarna,532486,POKARNA,INE637C01025,Consumer Durables,Granites & Marbles,834.20,28.38,113.94,14.33,0.34,27.37,36.73,274.90,2.31,5.52,810.99,0.10,1.47,1062.13,1.68,5.29,1.68,1.59,687.06,32.49,0.00,925.15,326.75,21.39,347.96,44.19,303.77,38.03,265.92,0.18,6.20,0.00,804.79,272.01,97.52,1305.07,445.80,193.10,223.21,34.95,48.56,193.02,113.89,191.17,95.76,-82.38,-100.73,8.00,73.22,185.08,152.93,302.19,2586.35
