company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
MRF,2025-03-31,3771.16,1168.63,376.49,4.24,10.0,5624.78,4548.24,13220.78,4241143.0,10629.34,7307.37,3370.25,18484.22,29566.99,282.0,-2082.23,1867.8,67.57,590.31,1653.55,99.64,1885.45,367.77,1869.28,237.97,405.67,1212.72,1215.59,2479.0,18516.43,28152.5,1580.0,609.71,healthy,MRF.xlsx,2025,
MRF,2026-03-31,3206.66,1033.8,2182.72,4.24,10.0,5416.82,3397.81,12966.42,,14555.48,7772.29,3541.58,20970.32,31953.51,-1120.33,-3536.15,4590.3,-66.18,-605.16,1753.63,99.64,2045.93,366.2,2426.1,4679.56,441.39,,,3222.14,18917.78,31149.01,,796.04,healthy,MRF.xlsx,2026,
Saint-Gob. Sekur,2017-03-31,2.12,1.61,0.54,91.11,10.0,11.09,23.24,43.57,91105700.0,36.44,16.11,15.68,-4.48,104.86,0.65,-7.52,7.16,0.29,-1.15,7.74,,11.2,0.29,6.77,2.66,2.58,11.47,11.44,10.37,55.95,123.47,13.78,3.6,healthy,Saint-Gob. Sekur.xlsx,2017,
Saint-Gob. Sekur,2018-03-31,4.47,0.17,0.92,91.11,10.0,9.32,43.33,38.17,91105700.0,37.75,14.4,24.32,9.44,119.42,2.22,-18.34,16.51,0.38,-1.36,8.62,,10.93,0.14,13.77,2.24,2.96,10.92,13.67,20.97,65.45,146.43,15.09,7.2,healthy,Saint-Gob. Sekur.xlsx,2018,
Saint-Gob. Sekur,2019-03-31,3.41,0.3,16.72,91.11,10.0,12.85,51.32,32.32,91105700.0,56.67,20.88,21.88,25.21,140.61,-1.36,-21.43,23.59,0.79,1.52,8.5,,11.98,0.3,16.08,2.72,5.67,13.96,15.28,22.64,74.65,159.76,16.92,6.56,healthy,Saint-Gob. Sekur.xlsx,2019,
Saint-Gob. Sekur,2020-03-31,2.02,0.07,0.4,91.11,10.0,11.04,96.69,25.31,91105700.0,35.41,26.23,17.76,38.12,157.48,-1.47,-26.92,27.06,-1.32,-0.8,7.58,,12.38,0.16,13.41,2.83,6.67,11.35,12.88,17.86,60.54,134.98,15.27,4.45,healthy,Saint-Gob. Sekur.xlsx,2020,
Saint-Gob. Sekur,2021-03-31,6.29,0.12,0.99,91.11,10.0,10.8,103.3,22.09,91105700.0,45.62,23.55,26.57,50.18,171.13,3.16,-4.97,2.4,0.59,0.65,5.37,9.11,13.6,0.5,11.42,3.72,4.88,7.58,9.32,15.11,45.89,104.89,9.33,3.69,healthy,Saint-Gob. Sekur.xlsx,2021,
Saint-Gob. Sekur,2022-03-31,6.33,0.67,1.57,91.11,10.0,17.06,132.63,20.03,91105700.0,51.67,18.77,28.69,88.79,205.0,-9.04,-2.04,11.57,0.49,3.09,4.44,27.33,11.57,0.49,47.69,1.99,31.81,11.21,12.04,60.81,70.09,151.29,13.55,13.12,healthy,Saint-Gob. Sekur.xlsx,2022,
Saint-Gob. Sekur,2023-03-31,5.94,,2.96,91.11,10.0,14.44,143.09,18.41,91105700.0,45.56,20.26,25.04,89.75,207.06,-27.54,-5.4,34.09,1.15,-1.97,3.96,13.67,11.96,0.4,28.87,1.52,7.48,14.07,16.04,38.82,85.85,186.32,19.21,9.96,healthy,Saint-Gob. Sekur.xlsx,2023,
Saint-Gob. Sekur,2024-03-31,1.27,1.4,5.11,91.11,10.0,20.14,159.71,16.82,91105700.0,48.07,26.1,19.28,107.52,226.0,-18.27,-9.38,29.68,2.03,-0.34,3.69,18.22,11.81,0.49,31.23,1.85,9.85,13.17,16.6,42.68,98.02,200.7,21.9,11.45,healthy,Saint-Gob. Sekur.xlsx,2024,
Saint-Gob. Sekur,2025-03-31,0.16,0.57,9.11,91.11,10.0,21.1,143.81,17.88,91105700.0,90.56,36.91,27.77,124.64,252.82,-19.18,-8.5,28.01,0.33,0.83,3.52,18.22,14.9,0.29,35.98,2.29,12.14,14.6,18.25,47.34,96.33,208.41,23.86,11.36,healthy,Saint-Gob. Sekur.xlsx,2025,
Saint-Gob. Sekur,2026-03-31,1.29,2.01,3.46,91.11,10.0,27.43,199.8,17.62,,72.05,46.98,34.79,152.1,291.48,-18.5,-17.18,33.39,-2.28,-1.74,3.29,22.78,15.75,0.38,45.8,45.89,11.52,,20.94,59.62,106.9,242.99,,13.83,healthy,Saint-Gob. Sekur.xlsx,2026,
