company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
Bharat Seats,2021-03-31,35.16,30.14,1.15,6.28,2.0,29.7,,126.02,31400000.0,135.21,139.59,82.6,110.34,291.37,-6.56,-12.24,18.75,-0.05,3.26,17.98,1.57,24.49,4.27,4.81,5.24,2.01,25.44,6.05,6.65,449.2,547.66,13.61,1.84,distressed,Bharat Seats.xlsx,2021,
Bharat Seats,2022-03-31,38.93,7.78,1.13,6.28,2.0,52.99,,147.12,31400000.0,182.32,171.15,110.72,120.86,337.22,-1.6,-14.66,15.62,-0.64,-1.45,17.61,2.51,35.61,3.9,11.91,5.49,5.26,25.35,8.08,15.92,697.06,817.63,12.42,4.0,distressed,Bharat Seats.xlsx,2022,
Bharat Seats,2023-03-31,65.73,11.96,1.21,6.28,2.0,28.84,,199.06,31400000.0,146.76,145.71,96.51,140.06,357.78,16.82,-59.07,42.54,0.29,-0.09,17.07,4.4,40.55,3.63,21.55,5.87,4.08,31.52,10.17,29.63,900.85,1051.04,15.74,8.09,distressed,Bharat Seats.xlsx,2023,
Bharat Seats,2024-03-31,159.88,48.83,0.37,6.28,2.0,39.73,,275.64,31400000.0,180.78,178.54,103.31,160.55,505.25,15.72,-72.63,56.74,-0.17,0.65,24.0,5.02,44.89,7.74,25.05,6.84,4.54,33.53,11.56,33.58,888.29,1066.82,21.58,8.53,distressed,Bharat Seats.xlsx,2024,
Bharat Seats,2025-03-31,151.85,89.57,3.12,12.56,2.0,55.45,,282.94,62800000.0,275.2,301.31,196.65,181.99,647.71,-25.28,-68.11,96.14,2.75,0.61,26.24,6.91,53.15,8.91,32.7,7.95,3.59,35.27,12.59,43.9,1081.18,1288.82,23.83,11.2,distressed,Bharat Seats.xlsx,2025,
Bharat Seats,2026-03-31,110.1,11.84,15.47,12.56,2.0,60.25,,355.74,,369.07,396.89,263.45,217.1,736.65,-47.15,-47.2,106.71,12.35,2.17,35.29,9.42,65.58,10.17,42.23,106.79,3.91,,,57.61,1681.59,1950.95,,15.37,distressed,Bharat Seats.xlsx,2026,
Carraro India,2020-03-31,230.77,,119.88,56.85,10.0,170.62,,256.58,56851538.0,605.15,352.14,192.9,221.97,861.73,51.66,-46.13,63.63,69.16,-6.65,31.91,,95.24,18.18,13.48,29.29,9.98,52.93,19.46,14.95,701.96,992.74,32.15,1.48,distressed,Carraro India.xlsx,2020,
Carraro India,2021-03-31,152.36,3.32,58.24,56.85,10.0,185.18,,254.51,56851538.0,626.24,448.45,267.21,226.41,884.07,-97.47,-33.58,69.41,-61.64,-10.45,33.0,,89.78,18.43,4.44,35.44,3.38,51.54,20.08,6.54,767.43,1062.05,32.74,2.1,distressed,Carraro India.xlsx,2021,
Carraro India,2022-03-31,177.58,10.12,98.89,56.85,10.0,233.35,,274.98,56851538.0,702.09,509.31,250.26,243.45,987.19,24.39,-58.91,75.18,40.66,29.15,34.29,5.0,111.24,15.5,17.05,42.06,3.18,62.98,25.36,23.54,1152.5,1500.37,65.23,6.49,distressed,Carraro India.xlsx,2022,
Carraro India,2023-03-31,188.33,21.04,95.09,56.85,10.0,255.3,,289.63,56851538.0,735.03,511.5,295.95,289.02,1045.7,-12.42,-63.77,72.38,-3.81,14.78,37.72,22.0,120.35,19.51,46.8,5.45,19.84,99.43,27.09,63.38,1290.51,1695.12,66.3,16.58,distressed,Carraro India.xlsx,2023,
Carraro India,2024-03-31,213.61,,100.43,56.85,10.0,286.45,,350.8,56851538.0,705.59,457.6,237.36,328.33,1056.39,-17.76,-83.63,106.73,5.34,24.09,41.4,,131.55,22.23,60.58,6.58,17.18,100.52,27.71,81.72,1337.24,1770.45,62.77,21.14,distressed,Carraro India.xlsx,2024,
Carraro India,2025-03-31,189.46,,60.73,56.85,10.0,298.72,23.98,377.3,56851538.0,711.97,452.37,286.91,414.57,1113.25,-58.62,-75.62,94.54,-39.7,-6.43,43.47,25.87,144.18,22.42,86.19,5.69,15.76,93.43,25.85,116.02,1307.24,1792.15,43.18,29.83,distressed,Carraro India.xlsx,2025,
CLN Energy,2022-03-31,,6.0,0.99,1.14,10.0,37.11,,4.53,1135000.0,51.52,59.19,7.62,1.72,62.05,2.03,-9.28,7.93,0.67,3.73,1.34,,4.02,0.03,3.64,0.31,0.01,3.09,0.44,5.02,109.51,121.69,1.67,1.37,distressed,CLN Energy.xlsx,2022,
CLN Energy,2023-03-31,,2.97,1.75,1.14,10.0,31.93,,16.12,1135000.0,90.54,106.04,25.21,2.45,109.63,,-15.36,15.02,-0.33,1.73,5.77,,9.16,0.07,0.73,5.84,-6.64,-19.64,0.8,0.91,116.52,128.82,4.48,0.17,distressed,CLN Energy.xlsx,2023,
CLN Energy,2024-03-31,,,3.79,3.41,10.0,35.49,,17.54,3405000.0,95.73,99.89,24.78,9.97,113.27,,-1.37,4.5,3.13,3.35,6.43,,12.9,0.18,9.79,2.47,0.15,4.21,0.93,12.24,91.33,132.71,5.52,2.46,distressed,CLN Energy.xlsx,2024,
CLN Energy,2025-03-31,15.82,,7.8,10.55,10.0,64.23,,18.33,10553250.0,181.1,89.12,75.21,83.94,199.43,83.42,-12.59,-66.82,4.01,18.97,6.28,,11.36,0.93,12.92,3.86,0.71,1.33,1.03,18.84,184.35,219.18,10.88,5.92,distressed,CLN Energy.xlsx,2025,
Enkei Wheels,2017-03-31,69.44,,7.17,7.44,5.0,13.67,,128.98,14876695.0,106.75,122.98,64.1,35.87,235.73,3.09,-20.09,16.55,-0.45,0.08,21.73,,28.78,4.71,2.73,5.08,0.2,60.57,30.71,7.42,222.22,406.71,25.77,4.69,distressed,Enkei Wheels.xlsx,2017,
Enkei Wheels,2018-03-31,73.23,1.55,9.66,7.71,5.0,23.16,,126.56,15411695.0,146.81,121.07,70.81,72.91,274.92,19.97,-43.57,25.4,1.81,7.91,23.3,,32.99,4.79,10.78,14.38,5.76,65.14,32.85,19.33,265.49,464.73,20.13,8.55,distressed,Enkei Wheels.xlsx,2018,
Enkei Wheels,2019-03-31,85.52,55.37,20.17,8.11,5.0,51.73,,126.23,16222695.0,147.99,114.99,43.64,120.97,329.59,42.43,-71.22,39.3,10.51,22.05,21.34,,37.05,4.52,12.73,9.14,14.7,84.34,37.64,13.67,285.38,474.49,18.16,0.94,distressed,Enkei Wheels.xlsx,2019,
Enkei Wheels,2019-12-31,152.26,101.4,41.23,8.54,5.0,70.55,,139.75,17076195.0,181.53,87.21,21.18,174.67,422.68,103.73,-88.93,6.26,21.07,3.22,17.76,,27.93,5.16,2.73,0.3,31.56,57.68,24.2,5.14,143.67,266.76,19.7,2.42,distressed,Enkei Wheels.xlsx,2019,
Enkei Wheels,2020-12-31,184.08,188.61,29.81,8.99,5.0,57.85,,121.73,17974895.0,141.98,77.54,28.6,181.71,452.32,36.87,-63.83,15.54,-11.42,-3.12,21.77,,32.4,12.54,-31.36,0.39,1.27,35.02,21.87,-32.63,122.63,235.2,19.36,-1.28,distressed,Enkei Wheels.xlsx,2020,
Enkei Wheels,2021-12-31,186.63,217.7,32.66,8.99,5.0,40.5,2.87,109.62,17974895.0,158.1,94.03,70.31,198.64,488.29,11.77,-36.94,28.01,2.84,-4.53,19.15,,34.78,2.98,16.28,,1.6,52.8,33.35,17.48,261.18,450.53,25.88,1.2,distressed,Enkei Wheels.xlsx,2021,
Enkei Wheels,2022-12-31,162.45,100.22,7.48,8.99,5.0,74.54,3.25,231.0,17974895.0,159.3,110.08,57.17,212.25,493.77,-32.89,-41.96,48.83,-26.03,12.12,28.4,,43.2,16.17,3.71,-0.01,7.79,83.34,54.17,9.57,415.91,663.49,32.65,5.86,distressed,Enkei Wheels.xlsx,2022,
