Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,14.05,18.59,68.89,12.12,0.00,15.50,0.73,0.30,6.93,13.66,4.83,110.18,2.64,-364.83,376.46,110.18,0.13,0.01,369.03,1.18,8.27,56.70,70.08,0.00,1.18,4.37,501.04,14.60,0.00,460.53,53.68,17.20,70.46,5.19,65.27,1.03,64.66,0.42,94.00,0.00,282.46,4.04,0.00,451.14,298.87,61.93,73.16,0.83,5.34,91.45,68.93,23.31,13.35,-18.38,-67.59,1321.68
Synergy Green,541929,SGIL,INE00QT01015,Industrial Products,Castings & Forgings,552.00,20.85,7.84,6.26,1.79,21.88,5.20,200.52,3.49,19.97,1.00,1.84,2.46,-37.06,111.81,1.84,-0.11,11.87,195.41,2.51,4.89,-51.77,-487.61,9.20,2.51,0.63,344.85,12.70,0.05,362.27,52.29,1.41,53.70,13.02,40.68,15.69,24.99,0.00,15.54,10.71,96.27,140.45,4.77,402.97,194.28,194.31,43.79,18.59,15.64,34.14,8.09,-16.39,-103.58,-86.71,100.79,848.45
Syngene Intl.,539268,SYNGENE,INE398R01022,Healthcare Services,"Healthcare Research, Analytics & Technology",438.80,13.52,409.30,7.31,0.12,10.53,8.74,581.60,3.28,17.23,1.72,11.00,4.75,42.22,4734.90,11.00,0.19,1.17,4896.80,1.37,6.36,15.14,244.89,10.14,1.37,1.56,3720.20,25.77,0.00,3642.40,1044.70,100.90,1116.50,432.60,683.90,53.10,659.90,29.10,402.90,0.00,4332.00,102.50,475.40,6542.10,2050.40,1191.80,958.70,52.60,447.50,578.60,352.10,1167.60,397.50,-744.40,-141.80,17680.98
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,975.00,11.67,284.54,4.37,0.12,9.45,15.12,331.55,2.39,35.11,1.80,8.70,4.39,-88.78,2809.18,8.70,0.01,1.80,2957.08,2.25,8.03,106.48,178.45,15.72,2.25,1.40,4278.41,10.96,-0.44,3786.69,323.32,47.28,354.90,75.07,279.83,58.46,237.07,15.70,192.59,0.00,2616.59,611.18,53.43,5209.71,3903.43,2167.40,468.75,50.89,83.46,442.64,298.04,176.46,3.88,-103.29,-70.70,18790.31
Syschem (India),531173,,INE121D01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,51.15,1.47,8.20,0.24,0.00,0.62,1.88,0.00,4.23,18.03,1.47,47.32,0.53,-10.09,94.86,47.32,-0.09,0.00,100.26,2.09,5.97,-24.85,60.12,0.00,2.09,0.95,473.29,2.88,4.15,331.68,4.00,0.03,4.04,2.95,1.09,0.07,1.01,-0.01,43.51,0.00,51.35,0.00,0.00,182.06,117.12,79.67,13.62,0.22,3.25,10.41,8.20,-10.09,-31.78,-21.67,33.81,250.70
Systematic Inds.,544541,,INE1KLZ01011,Industrial Products,Cables - Electricals,205.00,20.60,20.54,10.05,0.53,25.78,10.86,99.66,8.29,10.34,2.44,4.15,0.85,-31.69,184.14,4.15,-0.19,5.40,222.43,2.27,5.50,60.08,49.33,0.00,2.27,1.96,535.51,7.18,0.02,446.51,34.79,2.69,37.48,4.39,33.09,8.27,24.82,0.00,16.80,0.00,167.34,94.14,4.98,334.32,273.48,111.89,38.47,8.73,6.06,36.27,20.54,7.62,-11.31,-19.99,12.11,457.79
Systematix Corp.,526506,SYSTMTXC,INE356B01024,Capital Markets,Stockbroking & Allied,73.49,25.09,28.83,12.54,0.06,20.43,2.12,20.30,5.63,16.30,3.57,10.16,6.38,81.82,323.36,10.16,0.37,0.44,267.95,1.23,5.95,-50.08,1768.72,3.00,1.23,3.57,158.12,26.21,0.00,168.28,64.45,-0.01,65.03,3.18,61.85,4.17,57.09,-0.59,13.65,0.00,309.71,10.35,9.90,447.30,342.51,96.02,41.45,4.21,3.96,42.78,28.94,-20.13,-22.90,10.99,97.92,1008.17
T B Z,534369,TBZ,INE760L01018,Consumer Durables,"Gems, Jewellery And Watches",150.00,12.01,144.15,4.24,1.18,10.88,21.60,822.05,15.24,5.93,1.48,3.78,0.34,38.47,695.98,3.78,-0.56,12.02,774.75,2.46,3.47,-37.25,12.40,21.95,2.46,0.10,2902.61,9.81,0.00,2620.49,181.07,4.25,185.43,25.43,160.00,64.12,95.77,-0.11,66.73,0.00,629.25,699.99,91.77,2040.12,1852.09,1248.35,284.71,69.66,28.24,263.40,144.15,-26.85,-38.69,-45.04,84.94,1000.14
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,684.60,7.51,1337.55,1.89,6.17,13.99,84.47,62412.35,7.19,13.87,2.22,1.55,1.86,37.41,10110.16,1.55,-4.01,46.66,3707.17,7.01,0.77,-107.46,29.01,14.80,7.01,2.22,5819.42,72.54,0.00,5819.42,4221.68,877.07,5098.75,0.00,5098.75,3292.15,1806.60,0.00,158.35,0.00,9951.81,500.00,53688.96,75299.60,6173.70,2777.09,4221.68,3292.15,0.00,5098.75,1337.55,-100.88,-219.12,-118.24,25.81,10840.74
T N Newsprint,531426,TNPL,INE107A01015,"Paper, Forest & Jute Products",Paper & Paper Products,148.10,6.40,247.75,4.10,0.70,11.25,35.80,1612.81,9.29,4.72,0.69,1.26,0.22,3.51,2315.98,1.26,0.56,6.51,3554.88,2.61,1.51,1.73,4.29,11.17,2.61,0.32,4644.89,10.35,0.00,4644.89,480.78,75.88,556.66,312.90,243.76,193.16,50.60,0.00,69.38,0.00,2246.60,1457.28,147.01,6210.11,1795.14,2604.98,480.78,193.16,312.90,243.76,247.75,595.51,198.87,-386.74,-160.97,1030.65
